Symbol,Change,Yrows,Xcols
BIOCON,3.18,1,1
SYNINT,2.45,1,2
DRREDD,1.80,1,3
TORPHA,1.48,1,4
FDC,0.75,1,5
DRLAL,0.56,2,1
INDREM,0.20,2,2
ABBIND,0.04,2,3
GRANUL,0.00,2,4
GLAPHA,-0.04,2,5
DIVLAB,-0.05,3,1
GLEPHA,-0.11,3,2
CIPLA,-0.12,3,3
SANOFI,-0.22,3,4
IPCLAB,-0.3,3,5
APOHOS,-0.31,4,1
NARHRU,-0.43,4,2
STRSHA,-0.49,4,3
ORCPHA,-0.52,4,4
OPTCIR,-0.53,4,5
JUBLIF,-0.63,5,1
PFIZER,-0.85,5,2
CADHEA,-0.89,5,3
LUPIN,-0.91,5,4
WOCKHA,-0.93,5,5
SUNPHA,-1.12,6,1
FORHEA,-1.24,6,2
THYTEC,-1.8,6,3
AJAPHA,-1.94,6,4
AURPHA,-3.2,6,5
